title,pid,price,description,highlights,formatted_specifications
Bastex Back Cover for Moto G9  (Multicolor),itmb772e270a8476,219,"Bastex back covers are the best attractive accessory to make your mobile unique from other models .The Premium case is made out of a light, durable plastic called Polycarbonate.It is strong enough to protect it from bumps, drops and scratches.Wide array of designs and models.A raised bezel protects your display when mobile is laid flat, and the volume and power buttons are explicitly carved, so all buttons and ports are easily accessible. This case is 100% compatible with your regular charger and headphones. Kindly Note: **There may be slight change in color of design printed on case as seen on website, as there can be different monitors/tablets/smart phones settings**",Suitable For: Mobile | Material: Plastic | Theme: For Her | Type: Back Cover,Sales Package: 1 Mobile Cover | Model Number: ABC1399T37958-Teddy bear Gift Girlie | Designed For: Moto G9 | Brand Color: Multicolor | Pack of: 1
"Devilart Back Cover for Lava X11  (Multicolor, Waterproof, Silicon)",itmfbqyhwqvedcdn,188,"Now you can stylishly & easily protect your smartphone with this modern case protection. This case covers the back and corners of your smartphone with an impact resistant, flexible Soft shell, while still providing access to all ports and buttons. Designed for your phone this sleek and lightweight case is the perfect way to show off your style. This case acts as the perfect weapon you require to guard your phone from everything unwanted. It covers the entire front of the case with the artwork. It has permanent embedded designs with high print quality which are long lasting , Hence your design won't peel off. This case fully covers the back side of your mobile and hence you do not have to replace the original back cover.",Suitable For: Mobile | Material: Silicon | Theme: Patterns | Type: Back Cover,Sales Package: 1 Designer Case | Model Number: X11_318 | Designed For: Lava X11 | Brand Color: Multicolor | Pack of: 1 | Other Features: Shock Proof
SY Gifts Back Cover for Apple iPhone 7  (Multicolor),itm99e6ac4c0b9cd,199,Samurai Mobile Back Cover For Iphone 7,Suitable For: Mobile | Material: Plastic | Theme: No Theme | Type: Back Cover,Sales Package: 1 Mobile Back Cover | Model Number: SYG2505 4548 | Designed For: Apple iPhone 7 | Brand Color: Samurai | Pack of: 1
"Exclusivebay Back Cover for Micromax Canvas 5 E481  (Black, White)",itmafcf69ec9cf97,219,"Exclusivebay back covers are the best attractive accessory to make your mobile unique from other models .The Premium case is made out of a light, durable plastic called Polycarbonate.It is strong enough to protect it from bumps, drops and scratches.Wide array of designs and models.A raised bezel protects your display when mobile is laid flat, and the volume and power buttons are explicitly carved, so all buttons and ports are easily accessible. This case is 100% compatible with your regular charger and headphones. Kindly Note: **There may be slight change in color of design printed on case as seen on website, as there can be different monitors/tablets/smart phones settings**.",Suitable For: Mobile | Material: Plastic | Theme: Quotes/Signs/Symbols | Type: Back Cover,
"Coolboys Back Cover for Tecno KE-6 / KE6  (Purple, Waterproof, Silicon)",itm414c308bcbb71,197,"Now you can stylishly & easily protect your smartphone with this modern case protection. This case covers the back and corners of your smartphone with an impact resistant, flexible Soft shell, while still providing access to all ports and buttons. Designed for your phone this sleek and lightweight case is the perfect way to show off your style. This case acts as the perfect weapon you require to guard your phone from everything unwanted. It covers the entire front of the case with the artwork. It has permanent embedded designs with high print quality which are long lasting , Hence your design won't peel off. This case fully covers the back side of your mobile and hence you do not have to replace the original back cover.",Suitable For: Mobile | Material: Silicon | Theme: Patterns | Type: Back Cover,Sales Package: 1 Designer soft Silicon Cover | Model Number: 1264057 | Designed For: Tecno KE-6 / KE6 | Brand Color: Purple | Pack of: 1 | Other Features: Shock Proof
"quadronic Back Cover for Redmi Note 9 Pro Max, Smoke Translucent Shock Proof Smooth Rubberized Matte Hard Back Case Cover  (Green)",itm89ba80122e631,179,,"Suitable For: Mobile | Material: Plastic, Rubber | Theme: No Theme | Type: Back Cover",
"MotohunK 1 Car Body Cover, 2 Light 1 Remote Combo",itmde11bb2749a5c,"1,499","Material Protects Your Vehicle Against Wet, Humid And Dusty Climatic Conditions. Hi-Performance Fabric Naturally Resists Moisture, Fungus And Expels Stale Odour. Ultrasonic Welding Seals Seams Tight And Securely (Other Covers Use Common Thread) Keeps Your Vehicle Cooler, Dry And Dust Free, It Remains Unaffected By Climatic Conditions Uses Reinforced Side Grommets For Cover Tie-Down Uv Stable Materials Ensure A Long Life.2x T10 5050 RGB Led Light Bulbs With 16 Super RGB Colorful SMD Easy installation, just plug & play. 1. Flash mode: Colorful dazzling changes ,2.Strobe mode: Colorful gradual changes, 3. Fade mode: Colorful with dazzling changes and fade in and out, 4. Smooth mode: Flashing between red and blue.","Car Body Cover | Mercedes-Benz | E-Class All Terrain | Contains: 1 Car Body Cover, 2 Light 1 Remote",
"Zaapy Back Cover for Vivo S1, Vivo Z1x  (Blue)",itm491e9862c078c,206,premium quality polycarbonate material which is durable and light weight that ensures sleek and compact look for your Mobile phone . Every Printed Designer Pouch is printed with precision and designed in a way that it perfectly fits onto the back of the mobile phone.,Suitable For: Mobile | Material: Plastic | Theme: Animals/Birds/Nature | Type: Back Cover,"Sales Package: 1 back cover | Model Number: 3DSM-VVO S1-9875 | Designed For: Vivo S1, Vivo Z1x | Brand Color: Blue | Pack of: 1"
"Nassion Back Cover for Infinix Smart 5A  (Multicolor, Grip Case, Silicon)",itmc97f4193611cb,199,"Brand New Soft Designer Printed Case Express yourself by your phone and making it stand out. Many design and Prints in stock for your choice This Case keeps your PHONE safe and protected. Durable construction offers premium protection for side and back of your phone. Allows easy access to all buttons, controls and ports. Nassion is the manufacturer of the cover and print our own covers, And we Do not print the sides of the cover. So corners would always be transparent.",Suitable For: Mobile | Material: Silicon | Theme: Patterns | Type: Back Cover,"Sales Package: 1 Back Cover | Model Number: INF-SMR-5A-689 | Designed For: Infinix Smart 5A | Brand Color: Multicolor | Pack of: 1 | Certification: Nassion | Other Features: Nassion cases & covers have dust free,Washable,Fingerprints free,Made of soft silicone which make it soft and durable.Access to all buttons, Controls & Ports easily working ,and without removing the skin."
"Flipkart SmartBuy Back Cover for Honor Y5 2018  (White, Red)",itmae484c1e4c0e1,219,"Flipkart Smartbuy back covers are the best attractive accessory to make your mobile unique from other models .The Premium case is made out of a light, durable plastic called Polycarbonate.It is strong enough to protect it from bumps, drops and scratches.Wide array of designs and models.A raised bezel protects your display when mobile is laid flat, and the volume and power buttons are explicitly carved, so all buttons and ports are easily accessible. This case is 100% compatible with your regular charger and headphones. Kindly Note: **There may be slight change in color of design printed on case as seen on website, as there can be different monitors/tablets/smart phones settings**.",Suitable For: Mobile | Material: Plastic | Theme: For Her | Type: Back Cover,
