,col,pid
0,Title: Bastex Back Cover for Moto G9  (Multicolor) | Price: 219 | Discount: 78% off | Highlight: Suitable For: Mobile | Material: Plastic | Theme: For Her | Type: Back Cover | Specification: Sales Package: 1 Mobile Cover | Model Number: ABC1399T37958-Teddy bear Gift Girlie | Designed For: Moto G9 | Brand Color: Multicolor | Pack of: 1 | Rating: 0.0 | Category: ,itmb772e270a8476
1,"Title: Devilart Back Cover for Lava X11  (Multicolor, Waterproof, Silicon) | Price: 188 | Discount: 71% off | Highlight: Suitable For: Mobile | Material: Silicon | Theme: Patterns | Type: Back Cover | Specification: Sales Package: 1 Designer Case | Model Number: X11_318 | Designed For: Lava X11 | Brand Color: Multicolor | Pack of: 1 | Other Features: Shock Proof | Rating: 0.0 | Category: ",itmfbqyhwqvedcdn
2,Title: SY Gifts Back Cover for Apple iPhone 7  (Multicolor) | Price: 199 | Discount: 66% off | Highlight: Suitable For: Mobile | Material: Plastic | Theme: No Theme | Type: Back Cover | Specification: Sales Package: 1 Mobile Back Cover | Model Number: SYG2505 4548 | Designed For: Apple iPhone 7 | Brand Color: Samurai | Pack of: 1 | Rating: 0.0 | Category: ,itm99e6ac4c0b9cd
3,"Title: Exclusivebay Back Cover for Micromax Canvas 5 E481  (Black, White) | Price: 219 | Discount: 78% off | Highlight: Suitable For: Mobile | Material: Plastic | Theme: Quotes/Signs/Symbols | Type: Back Cover | Specification:  | Rating: 0.0 | Category: ",itmafcf69ec9cf97
4,"Title: Coolboys Back Cover for Tecno KE-6 / KE6  (Purple, Waterproof, Silicon) | Price: 197 | Discount: 70% off | Highlight: Suitable For: Mobile | Material: Silicon | Theme: Patterns | Type: Back Cover | Specification: Sales Package: 1 Designer soft Silicon Cover | Model Number: 1264057 | Designed For: Tecno KE-6 / KE6 | Brand Color: Purple | Pack of: 1 | Other Features: Shock Proof | Rating: 0.0 | Category: ",itm414c308bcbb71
5,"Title: quadronic Back Cover for Redmi Note 9 Pro Max, Smoke Translucent Shock Proof Smooth Rubberized Matte Hard Back Case Cover  (Green) | Price: 179 | Discount: 55% off | Highlight: Suitable For: Mobile | Material: Plastic, Rubber | Theme: No Theme | Type: Back Cover | Specification:  | Rating: 0.0 | Category: ",itm89ba80122e631
6,"Title: MotohunK 1 Car Body Cover, 2 Light 1 Remote Combo | Price: 1,499 | Discount: 25% off | Highlight: Car Body Cover | Mercedes-Benz | E-Class All Terrain | Contains: 1 Car Body Cover, 2 Light 1 Remote | Specification:  | Rating: 0.0 | Category: ",itmde11bb2749a5c
7,"Title: Zaapy Back Cover for Vivo S1, Vivo Z1x  (Blue) | Price: 206 | Discount: 77% off | Highlight: Suitable For: Mobile | Material: Plastic | Theme: Animals/Birds/Nature | Type: Back Cover | Specification: Sales Package: 1 back cover | Model Number: 3DSM-VVO S1-9875 | Designed For: Vivo S1, Vivo Z1x | Brand Color: Blue | Pack of: 1 | Rating: 0.0 | Category: ",itm491e9862c078c
8,"Title: Nassion Back Cover for Infinix Smart 5A  (Multicolor, Grip Case, Silicon) | Price: 199 | Discount: 75% off | Highlight: Suitable For: Mobile | Material: Silicon | Theme: Patterns | Type: Back Cover | Specification: Sales Package: 1 Back Cover | Model Number: INF-SMR-5A-689 | Designed For: Infinix Smart 5A | Brand Color: Multicolor | Pack of: 1 | Certification: Nassion | Other Features: Nassion cases & covers have dust free,Washable,Fingerprints free,Made of soft silicone which make it soft and durable.Access to all buttons, Controls & Ports easily working ,and without removing the skin. | Rating: 0.0 | Category: ",itmc97f4193611cb
9,"Title: Flipkart SmartBuy Back Cover for Honor Y5 2018  (White, Red) | Price: 219 | Discount: 45% off | Highlight: Suitable For: Mobile | Material: Plastic | Theme: For Her | Type: Back Cover | Specification:  | Rating: 0.0 | Category: ",itmae484c1e4c0e1
